id,team,player,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-
202012230BOS,MIL,Jrue Holiday,38:23,10,16,.625,1,4,.250,4,4,1.000,2,4,6,3,2,1,3,3,25,-5
202012230BOS,MIL,Khris Middleton,37:33,10,20,.500,3,8,.375,4,4,1.000,2,12,14,8,0,0,2,2,27,+7
202012230BOS,MIL,Giannis Antetokounmpo,36:24,13,26,.500,3,8,.375,6,8,.750,2,11,13,2,0,2,7,5,35,-1
202012230BOS,MIL,Brook Lopez,29:05,3,4,.750,1,2,.500,0,0,,2,1,3,0,0,2,0,3,7,+22
202012230BOS,MIL,Donte DiVincenzo,27:13,6,11,.545,3,4,.750,0,0,,2,3,5,3,2,0,1,3,15,+4
202012230BOS,MIL,Pat Connaughton,23:08,2,3,.667,2,3,.667,0,0,,0,1,1,1,0,0,1,1,6,-14
202012230BOS,MIL,Bobby Portis,16:22,1,3,.333,0,0,,1,2,.500,1,3,4,1,0,0,1,0,3,-16
202012230BOS,MIL,Bryn Forbes,13:31,1,5,.200,1,4,.250,0,0,,0,1,1,0,0,0,0,1,3,+4
202012230BOS,MIL,D.J. Wilson,12:53,0,2,.000,0,2,.000,0,0,,0,5,5,1,0,1,1,2,0,-6
202012230BOS,MIL,Sam Merrill,5:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
202012230BOS,BOS,Marcus Smart,38:27,0,3,.000,0,2,.000,3,4,.750,0,1,1,7,0,2,2,2,3,0
202012230BOS,BOS,Jaylen Brown,37:38,13,24,.542,3,8,.375,4,4,1.000,0,5,5,4,2,1,0,3,33,+8
202012230BOS,BOS,Jayson Tatum,32:49,12,28,.429,6,13,.462,0,0,,0,7,7,2,2,1,2,2,30,-6
202012230BOS,BOS,Daniel Theis,24:40,4,8,.500,2,6,.333,0,0,,0,3,3,3,0,0,0,1,10,+7
202012230BOS,BOS,Tristan Thompson,22:24,6,10,.600,0,0,,0,0,,4,4,8,1,0,0,0,3,12,-6
202012230BOS,BOS,Jeff Teague,25:00,7,15,.467,4,4,1.000,1,2,.500,2,1,3,4,2,1,0,1,19,+8
202012230BOS,BOS,Semi Ojeleye,18:59,2,2,1.000,1,1,1.000,0,1,.000,1,3,4,1,0,0,0,1,5,+20
202012230BOS,BOS,Grant Williams,14:35,1,5,.200,1,4,.250,0,0,,0,1,1,1,1,0,1,2,3,-19
202012230BOS,BOS,Payton Pritchard,13:00,1,4,.250,1,2,.500,0,0,,0,1,1,0,1,0,0,1,3,-2
202012230BOS,BOS,Robert Williams,12:28,2,2,1.000,0,0,,0,0,,3,1,4,0,0,1,1,1,4,-5
