id,team,player,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-
202012230BOS,MIL,Jrue Holiday,19:51,5,9,.556,1,3,.333,2,2,1.000,2,3,5,2,1,1,2,1,13,0
202012230BOS,MIL,Khris Middleton,21:08,7,11,.636,3,4,.750,3,3,1.000,2,2,4,2,0,0,1,1,20,+10
202012230BOS,MIL,Giannis Antetokounmpo,20:28,8,16,.500,3,6,.500,5,7,.714,0,7,7,1,0,1,3,4,24,+8
202012230BOS,MIL,Brook Lopez,16:23,1,1,1.000,0,0,,0,0,,2,1,3,0,0,2,0,1,2,+17
202012230BOS,MIL,Donte DiVincenzo,13:58,1,4,.250,0,0,,0,0,,2,2,4,1,0,0,0,2,2,+4
202012230BOS,MIL,Pat Connaughton,12:11,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-6
202012230BOS,MIL,Bobby Portis,6:21,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,0,1,-12
202012230BOS,MIL,Bryn Forbes,6:08,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+3
202012230BOS,MIL,D.J. Wilson,3:32,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-4
202012230BOS,BOS,Marcus Smart,20:01,0,1,.000,0,0,,1,2,.500,0,1,1,2,0,2,1,1,1,-4
202012230BOS,BOS,Jaylen Brown,19:51,7,11,.636,1,2,.500,3,3,1.000,0,1,1,1,1,0,0,3,18,0
202012230BOS,BOS,Jayson Tatum,18:42,9,18,.500,3,8,.375,0,0,,0,3,3,1,2,1,1,2,21,0
202012230BOS,BOS,Daniel Theis,15:36,2,5,.400,0,3,.000,0,0,,0,3,3,2,0,0,0,0,4,+5
202012230BOS,BOS,Tristan Thompson,9:09,3,6,.500,0,0,,0,0,,3,0,3,1,0,0,0,3,6,-13
202012230BOS,BOS,Jeff Teague,11:59,2,5,.400,2,2,1.000,0,0,,0,0,0,1,0,1,0,1,6,-2
202012230BOS,BOS,Semi Ojeleye,11:22,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,+9
202012230BOS,BOS,Grant Williams,4:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-14
202012230BOS,BOS,Payton Pritchard,4:09,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
202012230BOS,BOS,Robert Williams,4:54,1,1,1.000,0,0,,0,0,,1,0,1,0,0,1,1,1,2,+3
