id,team,player,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-
202012230BOS,MIL,Jrue Holiday,7:49,3,4,.750,0,0,,2,2,1.000,0,0,0,0,1,0,1,2,8,-14
202012230BOS,MIL,Khris Middleton,6:27,1,4,.250,0,1,.000,0,0,,0,4,4,1,0,0,1,0,2,-9
202012230BOS,MIL,Giannis Antetokounmpo,7:36,3,6,.500,0,0,,1,1,1.000,2,4,6,1,0,1,2,1,7,-2
202012230BOS,MIL,Brook Lopez,6:49,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,+1
202012230BOS,MIL,Donte DiVincenzo,7:01,2,4,.500,1,2,.500,0,0,,0,0,0,0,1,0,1,1,5,-2
202012230BOS,MIL,Pat Connaughton,5:11,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-9
202012230BOS,MIL,Bobby Portis,5:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-9
202012230BOS,MIL,Bryn Forbes,5:21,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,+4
202012230BOS,MIL,D.J. Wilson,4:24,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,1,0,-6
202012230BOS,MIL,Sam Merrill,4:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+6
202012230BOS,BOS,Marcus Smart,8:28,0,0,,0,0,,0,0,,0,0,0,2,0,0,1,0,0,+10
202012230BOS,BOS,Jaylen Brown,7:49,4,6,.667,2,3,.667,1,1,1.000,0,1,1,1,1,1,0,0,11,+14
202012230BOS,BOS,Jayson Tatum,6:12,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,-5
202012230BOS,BOS,Daniel Theis,2:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+1
202012230BOS,BOS,Tristan Thompson,7:22,1,2,.500,0,0,,0,0,,0,4,4,0,0,0,0,0,2,+11
202012230BOS,BOS,Jeff Teague,6:54,3,6,.500,0,0,,1,2,.500,2,1,3,2,1,0,0,0,7,+9
202012230BOS,BOS,Semi Ojeleye,7:37,2,2,1.000,1,1,1.000,0,1,.000,1,1,2,1,0,0,0,0,5,+11
202012230BOS,BOS,Grant Williams,4:11,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-6
202012230BOS,BOS,Payton Pritchard,6:49,1,3,.333,1,2,.500,0,0,,0,0,0,0,1,0,0,1,3,-1
202012230BOS,BOS,Robert Williams,2:37,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-4
